指标,2025年10月,2025年9月,2025年8月,2025年7月,2025年6月
居民消费价格指数(上年同月=100),100.2,99.7,99.6,100.0,100.1
食品烟酒类居民消费价格指数(上年同月=100),98.4,97.4,97.5,99.2,100.1
衣着类居民消费价格指数(上年同月=100),101.7,101.7,101.8,101.7,101.6
居住类居民消费价格指数(上年同月=100),100.1,100.1,100.1,100.1,100.1
生活用品及服务类居民消费价格指数(上年同月=100),101.9,102.2,101.8,101.2,100.7
交通通信类居民消费价格指数(上年同月=100),98.5,98.0,97.6,96.9,96.3
教育文化娱乐类居民消费价格指数(上年同月=100),100.9,100.8,101.0,100.9,101.0
医疗保健类居民消费价格指数(上年同月=100),101.4,101.1,100.9,100.5,100.4
其他用品及服务类居民消费价格指数(上年同月=100),112.8,109.9,108.6,108.0,108.1
非食品居民消费价格指数(上年同月=100),100.9,100.7,100.5,100.3,100.1
消费品居民消费价格指数(上年同月=100),99.8,99.2,99.0,99.6,99.8
服务居民消费价格指数(上年同月=100),100.8,100.6,100.6,100.5,100.5
不包括食品和能源居民消费价格指数(上年同月=100),101.2,101.0,100.9,100.8,100.7
